agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
23847069,UNIMED ARARAQUARA - DELL PARK PLACE,86ajxx3tq,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,26404.22,,PRODUTO_EXTRA_NO_SUPABASE
40787750,ZILOR - VMWARE (GARANTIA),86ajxx3v6,VMWARE OPEN,VMWARE,TD Synnex,VMWARE OPEN,BROADCOM,TD Synnex,133259.09,133259.09,False,FABRICANTE
33750981,UNIMED LONDRINA - VMWARE (GARANTIA),86ajxx3vw,VMWARE OPEN,VMWARE,TD Synnex,VMWARE OPEN,BROADCOM,TD Synnex,152938.67,152938.67,False,FABRICANTE
42107591,Frigol | Disco MSA 2040,86ahbwphv,UPGRADE STORAGE,4SERVERS,4Server,UPGRADE STORAGE,BROKER,4Server,2700.0,2700.0,False,FABRICANTE
42059429,Frigol | Discos para Upgrade do Primera,86aharbgu,UPGRADE STORAGE,4SERVERS,4Server,UPGRADE STORAGE,BROKER,4Server,39949.74,39949.74,False,FABRICANTE
41530374,UNIMED CAMPO MOURAO - PARK PLACE,86ajxx3wq,PARK PLACE - GARANTIA,PARK PLACE,Park Place,(AUSENTE),,,10748.64,,False,PRODUTO_AUSENTE_NO_SUPABASE
41530374,UNIMED CAMPO MOURAO - PARK PLACE,86ajxx3wq,(NÃO EXISTE NO AGENDOR),,,SUPORTE POS  GARANTIA,PARK PLACE ,Ingram Micro,,10748.64,,PRODUTO_EXTRA_NO_SUPABASE
40725835,SUPRIMATICA CLOUD - JAN/FEV/MAR,86ajxx3x7,CLOUD AZURE,MICROSOFT,Ingram Micro,CLOUD AZURE,AZURE,Ingram Micro,25.37,25.37,False,FABRICANTE
41900238,SUPRIMATICA SERVIÇOS UNIFICADOS - ABR,86ajxx3y1,SSU CONTRATOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SSU CONTRATOS,SUPRIMATICA,Suprimatica,184240.24,184240.24,True,FABRICANTE
33718142,PRIMA FOODS | UPGRADE AMBIENTE VXRAIL,86ajxx3yp,UPGRADE SERVIDOR,4SERVERS,4Server,UPGRADE SERVIDOR,BROKER,4Server,210114.47,210114.47,False,FABRICANTE
33718142,PRIMA FOODS | UPGRADE AMBIENTE VXRAIL,86ajxx3yp,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,40885.61,40885.61,True,FABRICANTE
37527187,CENTRO MEDICO SOROCABA | NOVO STORAGE MAIS UPGRADE HYPER-V 3,86ajxx3ze,STORAGE DELL EMC,DELL EMC,Ingram Micro,STORAGE DELL EMC,DELL ,Ingram Micro,543918.99,543918.99,False,FABRICANTE
37527187,CENTRO MEDICO SOROCABA | NOVO STORAGE MAIS UPGRADE HYPER-V 3,86ajxx3ze,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,25000.0,25000.0,True,FABRICANTE
37527187,CENTRO MEDICO SOROCABA | NOVO STORAGE MAIS UPGRADE HYPER-V 3,86ajxx3ze,MICROSOFT,MICROSOFT,Ingram Micro,LICENCIAMENTO MICROSOFT,MICROSOFT,Ingram Micro,139798.18,139798.18,False,NOME_PRODUTO
37527187,CENTRO MEDICO SOROCABA | NOVO STORAGE MAIS UPGRADE HYPER-V 3,86ajxx3ze,UPGRADE SERVIDOR,4SERVERS,4Server,UPGRADE SERVIDOR,BROKER,4Server,18335.52,18335.52,False,FABRICANTE
34214621,MINERVA - VMWARE CPT (TRIPLES),86ajxx41b,VMWARE OPEN,VMWARE,TD Synnex,VMWARE OPEN,BROADCOM,TD Synnex,464275.81,464275.81,False,FABRICANTE
